#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  2.18800000E+01  9.99990626E-01  2.11111366E-04
  2.20000000E+01  9.99706418E-01  2.12256724E-04
  2.21200000E+01  1.00026868E+00  2.33339808E-04
  2.22500000E+01  9.99985824E-01  2.26671695E-04
  2.23800000E+01  9.99979072E-01  2.29114604E-04
  2.25000000E+01  1.00003715E+00  2.25059917E-04
  2.26200000E+01  1.00023912E+00  2.59457850E-04
  2.27500000E+01  1.00021877E+00  2.22212887E-04
  2.28800000E+01  1.00002130E+00  2.40978136E-04
  2.30000000E+01  9.99537088E-01  2.19447061E-04
  2.31200000E+01  9.99710189E-01  2.53853328E-04
  2.32500000E+01  9.99996523E-01  2.26290864E-04
  2.33800000E+01  1.00004295E+00  2.41968589E-04
  2.35000000E+01  1.00001187E+00  2.32669528E-04
  2.36200000E+01  9.99853751E-01  2.40710123E-04
  2.37500000E+01  9.99924730E-01  2.35487451E-04
  2.38800000E+01  1.00021042E+00  2.63485441E-04
  2.40000000E+01  1.00049032E+00  2.13591541E-04
  2.41200000E+01  9.99906355E-01  2.24280921E-04
  2.42500000E+01  1.00013954E+00  2.37409207E-04
  2.43800000E+01  1.00008455E+00  2.30500207E-04
  2.45000000E+01  9.99860489E-01  2.00643312E-04
  2.46200000E+01  9.99597799E-01  2.27342007E-04
  2.47500000E+01  9.99751076E-01  2.30797611E-04
  2.48800000E+01  9.99705272E-01  2.59829167E-04
