#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  2.13800000E+01  9.99791470E-01  2.92520163E-04
  2.15000000E+01  9.99856387E-01  2.91143585E-04
  2.16200000E+01  9.99506926E-01  3.24374230E-04
  2.17500000E+01  9.99676692E-01  2.45260013E-04
  2.18800000E+01  9.99847612E-01  2.69805872E-04
  2.20000000E+01  9.99777932E-01  2.21199563E-04
  2.21200000E+01  9.99724560E-01  1.93040425E-04
  2.22500000E+01  9.99770151E-01  2.00113284E-04
  2.23800000E+01  9.99558125E-01  2.24326528E-04
  2.25000000E+01  9.99830203E-01  2.14692410E-04
  2.26200000E+01  9.99559121E-01  2.55725422E-04
  2.27500000E+01  9.99746861E-01  2.41178632E-04
  2.28800000E+01  9.99779339E-01  2.71469005E-04
  2.30000000E+01  9.99699733E-01  2.77013252E-04
  2.31200000E+01  9.99542293E-01  2.91287269E-04
  2.32500000E+01  9.99617726E-01  2.95430460E-04
  2.33800000E+01  9.99454309E-01  2.82443424E-04
  2.35000000E+01  9.99411188E-01  2.71410343E-04
  2.36200000E+01  9.99372174E-01  2.98497766E-04
  2.37500000E+01  9.99285134E-01  2.22357821E-04
  2.38800000E+01  9.99360748E-01  2.38997464E-04
  2.40000000E+01  9.99356913E-01  1.68640681E-04
  2.41200000E+01  9.99636459E-01  1.55610992E-04
  2.42500000E+01  9.99447464E-01  1.86222366E-04
  2.43800000E+01  9.99545555E-01  2.05456555E-04
  2.45000000E+01  9.99588470E-01  2.30694716E-04
  2.46200000E+01  9.99541723E-01  2.70419097E-04
  2.47500000E+01  9.99576198E-01  2.90072571E-04
  2.48800000E+01  9.99845795E-01  3.43495345E-04
